iter	Passed	Remaining
0	0	381
1	0	319
2	0	300
3	1	327
4	1	341
5	2	335
6	2	330
7	2	339
8	3	338
9	3	337
10	3	335
11	3	313
12	4	306
13	4	312
14	4	323
15	5	328
16	5	325
17	5	327
18	6	324
19	7	346
20	7	340
21	7	336
22	7	332
23	8	330
24	8	327
25	8	324
26	8	324
27	9	340
28	10	337
29	10	337
30	10	335
31	11	333
32	11	333
33	11	337
34	12	334
35	12	329
36	12	331
37	12	327
38	13	322
39	13	319
40	13	317
41	13	313
42	13	311
43	14	320
44	15	319
45	15	327
46	16	325
47	16	321
48	16	322
49	16	320
50	17	318
51	17	316
52	17	314
53	17	312
54	18	310
55	18	307
56	18	305
57	18	303
58	18	300
59	19	300
60	19	299
61	19	297
62	19	295
63	20	294
64	20	294
65	20	291
66	20	289
67	20	287
68	21	285
69	21	283
70	21	282
71	21	279
72	21	277
73	22	275
74	22	274
75	22	273
76	22	271
77	22	269
78	22	267
79	23	265
80	23	263
81	23	261
82	23	264
83	24	262
84	24	260
85	24	259
86	24	257
87	24	256
88	24	255
89	25	253
90	25	251
91	25	249
92	25	248
93	25	246
94	25	245
95	25	244
96	26	242
97	26	241
98	26	240
99	26	239
100	26	238
101	26	236
102	27	235
103	27	237
104	27	236
105	27	235
106	28	234
107	28	233
108	28	232
109	28	231
110	28	230
111	28	229
112	29	229
113	29	227
114	29	226
115	29	226
116	29	225
117	29	224
118	30	223
119	30	222
120	30	222
121	30	221
122	30	220
123	31	219
124	31	218
125	31	217
126	31	216
127	31	215
128	31	215
129	32	214
130	32	214
131	32	213
132	32	212
133	32	211
134	32	210
135	33	209
136	33	209
137	33	208
138	33	207
139	33	206
140	33	205
141	33	205
142	34	204
143	34	203
144	34	203
145	34	202
146	34	202
147	35	202
148	35	201
149	35	201
150	35	199
151	35	199
152	35	198
153	35	197
154	36	196
155	36	196
156	36	196
157	36	195
158	36	195
159	37	194
160	37	194
161	37	193
162	37	192
163	37	192
164	37	191
165	38	191
166	38	190
167	38	190
168	38	190
169	38	189
170	38	188
171	39	188
172	39	187
173	39	186
174	39	186
175	39	185
176	39	184
177	39	184
178	40	183
179	40	183
180	40	182
181	40	182
182	40	181
183	40	181
184	41	180
185	41	180
186	41	179
187	41	179
188	41	179
189	42	179
190	42	178
191	42	178
192	42	178
193	42	178
194	43	178
195	43	178
196	43	177
197	43	177
198	44	177
199	44	177
200	44	176
201	44	176
202	44	175
203	45	175
204	45	175
205	45	174
206	45	174
207	45	173
208	45	173
209	45	172
210	46	172
211	46	171
212	46	171
213	46	171
